mirna_id	AS035_CD4_200_SV	OBB4633_CD14_400_SV	OBB4633_CD4_200	OBB4633_CD4_200_SV	OBB3073_CD14_150ng	OBB3073_CD14_200ng	OBB3073_CD14_250ng	OBB3073_CD14_300ng	OBB3073_CD4_150ng	OBB3073_CD4_200ng	OBB3073_CD4_250ng	OBB3073_CD4_300ng	OBB2657_CD4_150ng	OBB2657_CD4_200ng	OBB2657_CD4_250ng	OBB2657_CD4_300ng
hsa-let-7a-2-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-let-7a-3p	10	117	3	4	159	311	119	208	9	12	9	15	2	5	8	7
hsa-let-7a-5p	548	2354	844	962	4112	8175	2014	3645	1362	1379	1059	1324	629	574	956	899
hsa-let-7b-3p	61	205	137	81	278	400	199	314	88	107	154	200	96	138	119	95
hsa-let-7b-5p	3080	7618	4594	5946	13572	27149	6862	12520	8297	7264	6270	7549	6392	5596	8719	7827
hsa-let-7c-3p	4	0	1	1	0	2	0	0	5	0	1	2	0	0	2	2
hsa-let-7c-5p	206	218	200	236	315	655	166	317	438	402	317	410	284	232	386	392
hsa-let-7d-3p	575	1897	755	985	4418	7602	2138	3750	1648	1235	1152	1199	1211	1142	1404	1387
hsa-let-7d-5p	2053	5981	3341	3923	12241	21001	5879	10109	5384	4833	4156	5027	3675	3354	4835	5363
hsa-let-7e-3p	2	2	1	2	2	3	0	3	4	4	5	5	4	2	5	5
hsa-let-7e-5p	121	89	182	207	103	182	43	89	383	319	323	404	132	137	225	244
hsa-let-7f-1-3p	14	80	15	9	48	86	39	64	10	15	16	24	9	12	21	23
hsa-let-7f-2-3p	27	42	26	37	25	51	16	25	36	34	35	35	38	24	40	45
hsa-let-7f-5p	87	211	170	150	413	813	187	359	209	219	205	231	128	111	194	159
hsa-let-7g-3p	62	48	55	66	10	20	4	10	36	33	43	50	41	40	82	64
hsa-let-7g-5p	135394	85015	298857	298043	92255	209972	58668	107654	370903	324269	328943	425114	196956	194846	349240	322003
hsa-let-7i-3p	431	939	381	465	330	473	173	321	283	334	289	395	312	293	566	446
hsa-let-7i-5p	26479	66792	42879	44145	96474	222403	56987	104190	74836	68554	65821	82654	37765	38992	65859	67862
hsa-miR-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	508	1145	873	848	666	1460	473	827	28	29	30	53	476	501	811	862
hsa-miR-101-3p	45736	21731	49088	41773	7545	13384	5615	9227	31023	30006	35896	45931	25304	27602	53010	49203
hsa-miR-101-5p	52	41	76	70	7	13	5	9	39	40	53	62	49	57	97	91
hsa-miR-103a-2-5p	21	75	26	16	51	69	38	65	26	18	32	40	18	14	22	34
hsa-miR-103a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-3p	6	8	7	8	0	3	0	1	4	2	2	7	2	1	4	9
hsa-miR-106a-5p	160	199	293	214	95	194	67	100	100	146	129	152	116	112	205	205
hsa-miR-106b-3p	617	1648	919	814	1217	2286	800	1462	793	752	925	1373	567	632	999	1080
hsa-miR-106b-5p	799	3646	888	854	1304	2033	946	1390	594	570	655	742	643	601	1224	1114
hsa-miR-107	59	790	40	51	334	581	222	381	37	30	32	38	34	22	52	34
hsa-miR-10a-3p	5	3	3	3	0	3	0	1	8	7	8	9	6	11	12	14
hsa-miR-10a-5p	2434	829	1547	1677	385	651	235	369	3178	2882	2997	3684	3013	3333	5453	5549
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-10b-5p	2	10	3	6	10	11	2	7	14	12	12	16	2	3	5	5
hsa-miR-1178-3p	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0
hsa-miR-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	1	4	0	3	0	0	1	1	0	1	0	1	2	0	3	1
hsa-miR-1180-3p	4	22	6	6	36	66	19	50	11	12	10	14	8	11	14	19
hsa-miR-1180-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1181	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p	2	32	0	0	3	6	1	2	1	1	1	0	0	0	1	0
hsa-miR-1185-2-3p	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1185-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
