mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
miRNA	275	276	277	278	279	280	281	282	283	284	285	286	288
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	0	5	3	2	4	0	0	2	0	5	0	1	5
hsa-let-7a-5p	139	750	795	426	290	476	195	906	381	263	6	474	1132
hsa-let-7b-3p	3	38	24	27	18	29	13	46	4	7	0	13	48
hsa-let-7b-5p	295	1437	3367	2961	1031	2670	1738	10109	9712	3541	128	2197	7142
hsa-let-7c-3p	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-let-7c-5p	10	98	208	245	51	251	57	395	153	123	1	117	358
hsa-let-7d-3p	91	956	1677	1195	787	483	163	1129	798	414	4	1104	1027
hsa-let-7d-5p	682	3764	3795	2798	2659	2025	890	4277	2457	1411	40	3313	4855
hsa-let-7e-3p	0	0	0	1	0	0	0	1	0	1	0	0	1
hsa-let-7e-5p	18	78	142	80	87	45	52	286	432	156	5	370	130
hsa-let-7f-1-3p	2	6	7	6	11	4	6	15	3	3	0	6	4
hsa-let-7f-2-3p	0	19	3	2	2	3	1	8	2	3	0	2	10
hsa-let-7f-5p	23	181	169	125	107	64	35	201	115	34	2	89	148
hsa-let-7g-3p	0	4	1	0	1	1	0	3	4	1	0	1	9
hsa-let-7g-5p	5565	60384	46146	52530	16100	95871	26835	215203	56033	34356	757	17868	194133
hsa-let-7i-3p	2	60	24	12	19	4	2	38	22	15	3	14	40
hsa-let-7i-5p	5965	33797	36250	21904	20773	20200	11148	65326	29751	13115	463	19402	43548
hsa-miR-1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	0	0	93	294	29	416	102	744	220	46	606	213	547
hsa-miR-101-3p	22	2998	1839	1458	523	2168	686	4258	1631	2421	66	945	12678
hsa-miR-101-5p	0	4	1	0	0	3	1	5	3	2	0	1	7
hsa-miR-103a-2-5p	4	15	2	1	9	0	0	8	2	2	0	10	6
hsa-miR-103a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-3p	0	0	0	0	0	0	0	0	2	0	0	1	0
hsa-miR-106a-5p	1	13	57	181	84	8	5	28	13	10	8	109	21
hsa-miR-106b-3p	69	935	565	588	484	205	74	630	312	102	2	488	314
hsa-miR-106b-5p	4	393	142	44	83	28	10	57	47	60	0	78	122
hsa-miR-107	2	16	5	8	20	3	1	7	4	2	0	12	12
hsa-miR-10a-3p	2	8	8	3	4	1	0	1	3	2	0	2	14
hsa-miR-10a-5p	203	1753	2048	2637	847	1175	169	2022	943	598	18	934	4072
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-10b-5p	0	6	0	0	1	2	0	12	97	1	0	104	22
hsa-miR-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1180-3p	2	13	17	23	9	3	0	4	2	1	0	16	3
hsa-miR-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1181	0	0	1	0	0	0	0	0	0	1	0	0	1
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0
